,parent,left_child,right_child,distance,size
422,6220,18.0,251.0,7.706387538992404,2.0
423,6221,5694.0,4924.0,7.707425081664387,2.0
424,6222,377.0,474.0,7.707673267981904,2.0
425,6223,5447.0,4096.0,7.708686337545164,2.0
426,6224,5538.0,4589.0,7.711238053039108,2.0
427,6225,4427.0,5862.0,7.712870610775507,3.0
428,6226,3087.0,2715.0,7.717179119471106,2.0
429,6227,4958.0,4010.0,7.722695540742971,2.0
430,6228,6051.0,6042.0,7.729267493268531,6.0
431,6229,5475.0,5633.0,7.729321508761965,2.0
432,6230,6207.0,3949.0,7.736443646809316,9.0
433,6231,6140.0,6163.0,7.739790343587371,13.0
434,6232,5046.0,4942.0,7.741471089997177,2.0
435,6233,5203.0,5114.0,7.7436725457691615,2.0
436,6234,6029.0,5108.0,7.744513468961739,3.0
437,6235,6204.0,4949.0,7.745096118193439,7.0
438,6236,4853.0,4005.0,7.747027742360706,2.0
439,6237,6113.0,4610.0,7.749776790845084,3.0
440,6238,6097.0,6093.0,7.755365500719954,9.0
441,6239,4084.0,4180.0,7.75670292869431,2.0
442,6240,6230.0,6205.0,7.771239709269682,13.0
443,6241,274.0,907.0,7.778217915791918,2.0
444,6242,4089.0,5369.0,7.779777023793015,2.0
445,6243,6091.0,4855.0,7.7804708867151655,3.0
446,6244,4198.0,5324.0,7.780746658359396,2.0
447,6245,4555.0,5192.0,7.7818308261870905,2.0
448,6246,4646.0,5388.0,7.787857624974222,2.0
449,6247,5762.0,5092.0,7.789637621714845,2.0
450,6248,5555.0,4470.0,7.790727127665576,2.0
451,6249,1024.0,1108.0,7.790733053675133,2.0
452,6250,6214.0,5545.0,7.791899889624006,7.0
453,6251,5908.0,6038.0,7.793426699267446,4.0
454,6252,5266.0,4215.0,7.802637549375265,2.0
455,6253,6094.0,4391.0,7.804548881559186,6.0
456,6254,6231.0,5077.0,7.80753517449695,14.0
457,6255,4936.0,4618.0,7.818825359355904,2.0
458,6256,4054.0,5654.0,7.820120461754184,2.0
459,6257,3923.0,4591.0,7.8216031264042245,2.0
460,6258,4273.0,5362.0,7.825640708783422,2.0
461,6259,4910.0,5273.0,7.828866468474277,2.0
